"npo.id","year","n.page"
"1605","2011","2"
"1605","2012","2"
"1605","2013","3"
"1605","2014","2"
"1606","2012","2"
"1606","2013","2"
"1606","2014","2"
"1612","2010","2"
"1612","2011","3"
"1612","2012","2"
"1612","2013","2"
"1612","2014","2"
"1623","2012","16"
"1623","2013","16"
"1623","2014","17"
"1643","2006","6"
"1643","2007","2"
"1643","2008","3"
"1643","2009","2"
"1643","2010","2"
"1643","2011","12"
"1643","2012","10"
"1643","2013","13"
"1643","2014","13"
"1644","2006","3"
"1644","2007","3"
"1644","2008","5"
"1644","2009","2"
"1644","2010","2"
"1644","2011","2"
"1644","2012","2"
"1644","2013","2"
"1644","2014","5"
"1663","2009","2"
"1663","2010","2"
"1663","2011","2"
"1663","2012","2"
"1663","2013","2"
"1665","2013","16"
"1665","2014","20"
"1668","2009","2"
"1668","2010","4"
"1668","2011","16"
"1668","2012","11"
"1668","2013","8"
"1668","2014","10"
"1677","2009","4"
"1677","2010","4"
"1677","2011","1"
"1677","2012","10"
"1677","2013","10"
"1677","2014","10"
"1699","2011","3"
"1699","2012","1"
"1699","2013","2"
"1699","2014","4"
"1700","2010","4"
"1700","2011","4"
"1700","2012","4"
"1700","2013","3"
"1700","2014","13"
"1712","2014","2"
"1730","2013","16"
"1730","2014","15"
"1743","2011","63"
"1743","2012","64"
"1743","2013","63"
"1743","2014","62"
"1748","2006","2"
"1748","2007","10"
"1748","2008","11"
"1748","2009","11"
"1748","2010","12"
"1748","2012","2"
"1748","2013","3"
"1748","2014","3"
"1775","2008","11"
"1775","2009","9"
"1775","2010","13"
"1775","2011","13"
"1775","2012","10"
"1775","2013","13"
"1775","2014","13"
"1779","2012","2"
"1779","2013","2"
"1779","2014","2"
"1799","2008","2"
"1799","2009","1"
"1799","2010","5"
"1799","2011","5"
"1799","2012","2"
"1799","2013","2"
"1799","2014","3"
"1802","2014","9"
"1812","2008","3"
"1812","2009","4"
"1812","2010","2"
"1812","2011","15"
"1812","2012","31"
"1812","2013","32"
"1812","2014","29"
"1830","2006","2"
"1830","2007","2"
"1830","2008","2"
"1830","2009","2"
"1830","2010","2"
"1830","2011","2"
"1830","2012","4"
"1830","2013","5"
"1830","2014","2"
"1831","2008","12"
"1831","2009","10"
"1831","2010","14"
"1831","2011","14"
"1831","2012","9"
"1831","2013","10"
"1831","2014","12"
"1833","2007","12"
"1833","2008","5"
"1833","2009","22"
"1833","2010","13"
"1833","2011","14"
"1833","2012","21"
"1833","2013","13"
"1833","2014","14"
"1839","2008","2"
"1839","2009","3"
"1839","2010","3"
"1839","2011","2"
"1839","2012","2"
"1839","2013","10"
"1839","2014","10"
"1851","2014","10"
"1852","2006","4"
"1852","2007","1"
"1852","2008","1"
"1852","2009","4"
"1852","2010","4"
"1852","2011","4"
"1852","2012","2"
"1852","2013","2"
"1852","2014","2"
"1856","2006","2"
"1856","2007","2"
"1856","2008","1"
"1856","2009","2"
"1856","2010","2"
"1856","2011","2"
"1856","2012","2"
"1856","2013","2"
"1856","2014","15"
"1885","2006","7"
"1885","2007","4"
"1885","2008","4"
"1885","2009","4"
"1885","2010","4"
"1885","2011","14"
"1885","2012","14"
"1885","2013","14"
"1885","2014","14"
"1893","2006","6"
"1893","2007","8"
"1893","2008","10"
"1893","2009","6"
"1893","2010","4"
"1893","2011","4"
"1893","2012","5"
"1893","2013","2"
"1893","2014","2"
"1919","2014","3"
"1928","2012","2"
"1928","2013","2"
"1928","2014","2"
"1956","2006","15"
"1956","2007","5"
"1956","2008","2"
"1956","2009","2"
"1956","2010","6"
"1956","2011","11"
"1956","2012","13"
"1956","2013","12"
"1956","2014","12"
"1960","2014","3"
"1970","2011","34"
"1970","2012","34"
"1970","2013","34"
"1970","2014","17"
"1988","2010","30"
"1988","2011","3"
"1988","2012","2"
"1988","2013","2"
"1988","2014","2"
"1999","2006","7"
"1999","2007","7"
"1999","2008","7"
"1999","2009","7"
"1999","2010","3"
"1999","2011","12"
"1999","2012","12"
"1999","2013","14"
"1999","2014","13"
"2007","2011","20"
"2007","2012","19"
"2007","2013","17"
"2007","2014","17"
"2020","2008","13"
"2020","2009","3"
"2020","2010","2"
"2020","2011","2"
"2020","2012","2"
"2020","2013","3"
"2020","2014","3"
"2035","2013","13"
"2035","2014","17"
"2036","2006","3"
"2036","2007","2"
"2036","2008","2"
"2036","2009","2"
"2036","2010","2"
"2036","2011","2"
"2036","2012","2"
"2036","2013","2"
"2036","2014","4"
"2051","2009","6"
"2051","2010","5"
"2051","2011","5"
"2051","2012","2"
"2051","2013","2"
"2051","2014","2"
"2055","2009","2"
"2055","2010","3"
"2055","2011","2"
"2055","2012","2"
"2055","2013","2"
"2055","2014","2"
"2071","2011","13"
"2071","2012","23"
"2071","2013","14"
"2071","2014","18"
"2084","2014","2"
"2139","2010","6"
"2139","2011","6"
"2139","2012","2"
"2139","2013","3"
"2139","2014","2"
"2195","2007","1"
"2195","2008","5"
"2195","2009","5"
"2195","2010","5"
"2195","2011","6"
"2195","2012","2"
"2195","2013","3"
"2195","2014","3"
"2197","2007","4"
"2197","2008","4"
"2197","2009","2"
"2197","2010","2"
"2197","2011","4"
"2197","2012","5"
"2197","2013","4"
"2197","2014","4"
"2211","2009","7"
"2211","2010","3"
"2211","2011","3"
"2211","2012","4"
"2211","2013","6"
"2211","2014","16"
"2214","2011","2"
"2214","2012","2"
"2214","2013","2"
"2214","2014","5"
"2270","2006","21"
"2270","2007","20"
"2270","2008","8"
"2270","2009","18"
"2270","2010","17"
"2270","2011","18"
"2270","2012","19"
"2270","2013","19"
"2270","2014","21"
"2279","2009","17"
"2279","2010","17"
"2279","2011","20"
"2279","2012","39"
"2279","2013","24"
"2279","2014","25"
"2292","2006","8"
"2292","2007","2"
"2292","2008","4"
"2292","2009","4"
"2292","2010","4"
"2292","2011","6"
"2292","2012","3"
"2292","2013","2"
"2292","2014","2"
"2293","2008","17"
"2293","2009","3"
"2293","2010","2"
"2293","2011","25"
"2293","2012","3"
"2293","2013","20"
"2293","2014","21"
"2297","2013","3"
"2297","2014","3"
"2303","2007","4"
"2303","2008","1"
"2303","2009","1"
"2303","2010","2"
"2303","2011","2"
"2303","2012","2"
"2303","2013","2"
"2303","2014","2"
"2306","2013","2"
"2306","2014","2"
"2308","2012","4"
"2308","2013","21"
"2308","2014","22"
"2335","2006","3"
"2335","2007","5"
"2335","2008","2"
"2335","2009","6"
"2335","2010","16"
"2335","2011","16"
"2335","2012","13"
"2335","2013","13"
"2335","2014","14"
"2350","2012","9"
"2350","2013","12"
"2350","2014","11"
"2360","2006","6"
"2360","2007","4"
"2360","2008","4"
"2360","2009","2"
"2360","2010","3"
"2360","2011","4"
"2360","2012","6"
"2360","2013","11"
"2360","2014","11"
"2380","2013","2"
"2380","2014","3"
"2385","2014","10"
"2390","2013","2"
"2390","2014","3"
"2403","2012","4"
"2403","2013","2"
"2403","2014","24"
"2423","2011","12"
"2423","2012","15"
"2423","2013","12"
"2423","2014","12"
"2428","2010","4"
"2428","2011","11"
"2428","2012","13"
"2428","2013","13"
"2428","2014","16"
"2445","2007","19"
"2445","2008","7"
"2445","2009","6"
"2445","2010","6"
"2445","2011","4"
"2445","2012","4"
"2445","2013","15"
"2445","2014","15"
"2447","2011","2"
"2447","2012","2"
"2447","2013","4"
"2448","2012","2"
"2448","2013","2"
"2448","2014","3"
"2455","2013","11"
"2455","2014","11"
"2475","2007","10"
"2475","2008","4"
"2475","2010","8"
"2475","2011","7"
"2475","2012","12"
"2475","2013","13"
"2475","2014","13"
"2481","2013","24"
"2481","2014","24"
"2505","2012","3"
"2505","2013","2"
"2505","2014","2"
"2534","2007","1"
"2534","2008","17"
"2534","2009","4"
"2534","2010","4"
"2534","2011","27"
"2534","2012","30"
"2534","2013","27"
"2534","2014","27"
"2543","2009","3"
"2543","2010","3"
"2543","2011","6"
"2543","2012","2"
"2543","2013","2"
"2543","2014","2"
"2562","2009","9"
"2562","2010","2"
"2562","2011","5"
"2562","2012","3"
"2562","2013","3"
"2562","2014","3"
"2566","2013","3"
"2566","2014","16"
"2612","2006","5"
"2612","2007","4"
"2612","2008","1"
"2612","2009","1"
"2612","2010","4"
"2612","2011","11"
"2612","2012","12"
"2612","2013","18"
"2612","2014","18"
